GeneSymbol	log2FC	|log2FC|	AveExpr	t	P.Value	adj.P.Val	M-Cell1	M-Cell2	M-Cell3	M-Cell4	Y79_1	Y79_2	Y79_3	Y79_4	Y79_5
HIST1H4B	5.513966	5.513966	5.380093	9.242489	1.02E-05	0.0002526466	250.171234	34.549267	182.560608	268.413879	0	0.207774	0	0.045376	0
AIPL1	-5.39216047182115	5.39216047182115	6.65600467819233	-8.85901381190853	1.42E-05	0.000303296096719	0.098809	1.06713	1.719062	0	173.457887	125.967449	134.485953	155.960974	132.774562
PRAME	-5.380177	5.380177	4.631774	-12.61149	8.56E-07	7.55E-05	0	0	0	0	76.536573	79.439296	107.151684	95.646827	74.267249
HIST1H3D	5.379319	5.379319	5.075379	9.838175	6.24E-06	0.0001921807	175.535568	54.474876	117.598846	289.481781	0.049942	0.165	0.129449	0.108253	0.164267
ANXA2	5.35091404212223	5.35091404212223	5.75786037509397	14.907167125195	2.18E-07	4.97E-05	81.590423	238.00588	261.118699	220.527514	1.062773	0.307877	0.643089	0.73637	0.634757
HIST2H2AB	5.317176	5.317176	5.071682	9.590459	7.62E-06	0.0002168176	145.847885	60.595196	91.053291	294.404449	0.175185	0.116952	0.172356	0.062399	0.176872
CRABP1	5.259887	5.259887	5.592641	12.75699	7.80E-07	7.42E-05	160.852356	85.390541	87.284439	184.79451	0.02282	0.022344	0.07731	0.186855	0.821455
HIST1H2AJ	5.167083	5.167083	5.247686	12.64937	8.35E-07	7.55E-05	100.055328	128.151245	126.083778	213.295715	0.181945	0.877279	0.34767	0.368188	0.418392
HIST1H2AM	5.134095	5.134095	5.678942	7.419112	5.46E-05	0.0007086155	227.144119	92.030357	135.331436	311.958252	0.20834	0.221069	0.14606	7.259099	0.196485
HIST2H3D	5.086995	5.086995	5.157697	7.160207	7.11E-05	0.0008457226	155.88533	33.057037	126.186974	467.6604	0.228427	0.423836	0.873856	0.515731	0.17594
GFAP	5.084338	5.084338	4.544901	7.618639	4.48E-05	0.0006261266	9.739355	196.31203	352.659809	123.598879	0.017173	0	0.00842	0.008766	0.009039
MIF	5.07794	5.07794	5.972624	15.11967	1.94E-07	4.69E-05	118.556377	130.661473	225.246925	212.09523	0.800984	0.750336	0.56934	1.036887	1.32525
C7orf55-LUC7L2	-5.06823062535618	5.06823062535618	4.38080603153517	-16.6314621623752	8.86E-08	4.38E-05	0	0	0	0	68.679203	69.813767	63.940206	66.542808	66.265195
HIST1H2BJ	5.019874	5.019874	4.616093	7.090507	7.64E-05	0.0008855296	177.570755	19.947079	76.788177	240.489349	0	0	0	0	0.01105
HIST1H1D	5.001854	5.001854	4.99078	8.169284	2.64E-05	0.0004447979	134.821503	42.4753	52.806767	276.504547	0.078706	0.158498	0.206647	0.071235	0.236689
HMGA2	-4.953111	4.953111	6.84353	-9.426548	8.73E-06	0.0002311815	2.462407	4.808746	4.633792	1.078918	224.076047	230.319247	299.277382	204.42596	307.585795
HIST1H3G	4.945285	4.945285	5.574422	6.597917	0.0001293988	0.001282558	230.884979	40.625145	103.568199	557.184814	0.863346	0.511029	1.487862	1.094504	1.011603
HIST1H2BI	4.94354	4.94354	4.832354	7.07988	7.73E-05	0.0008920985	144.037735	41.116962	42.501842	297.149933	0.225879	0.207091	0	0.417737	0.201898
HIST1H2BC	4.913769	4.913769	7.440481	9.455317	8.52E-06	0.0002296047	282.455688	262.07077	239.124847	543.396729	5.551525	6.570901	3.021685	2.762241	3.624451
HIST1H3J	4.86205	4.86205	4.573116	10.30827	4.31E-06	0.000165125	107.5569	64.825279	48.074272	149.111099	0.045577	0.061947	0.175445	0.125842	0.070286
HIST2H4A	4.839622	4.839622	8.365757	5.353508	0.0005583918	0.003598168	975.529571	196.962181	439.908996	1314.046081	13.002318	11.564498	13.980421	0.540392	14.10518
HIST1H4J	4.817618	4.817618	7.457707	10.08948	5.11E-06	0.000176151	307.707886	159.554031	330.507721	749.705322	4.210068	4.443986	3.186721	5.369592	4.712783
SOX2	4.738163	4.738163	4.599741	17.84214	4.95E-08	3.85E-05	58.130856	74.742188	76.909134	74.845924	0	0	0.018317	0.019134	0.019598
FABP7	4.720687	4.720687	4.81377	7.190558	6.89E-05	0.000829551	72.754112	38.594734	21.168049	238.091354	0	0	0.045013	0	0.068392
NES	4.671617	4.671617	5.658518	18.0483	4.50E-08	3.85E-05	144.90509	100.175194	105.830612	109.278648	0.581451	0.609548	0.923672	0.872456	1.266116
RAX2	-4.615053	4.615053	5.631297	-10.47225	3.81E-06	0.0001548463	0.189201	0.719292	1.237646	0.238315	62.401091	58.694202	63.235093	94.745326	69.727828
HIST1H4D	4.599276	4.599276	6.038147	7.446383	5.31E-05	0.0006997401	234.78566	36.291359	130.198029	338.634186	1.875661	1.539928	1.024329	2.231076	1.052188
HIST2H2AC	4.580988	4.580988	7.700208	11.3874	1.95E-06	0.0001097932	253.735611	226.893539	217.166321	574.927734	2.828537	8.502997	5.22467	6.52668	4.231135
HIST1H2BL	4.575991	4.575991	5.2803	11.4789	1.83E-06	0.0001048401	149.353867	62.759571	101.148232	141.604385	0.677258	1.335539	0.443855	1.164657	0.71659
HIST1H4K	4.570602	4.570602	7.735498	10.22965	4.58E-06	0.0001665102	325.118988	163.011826	341.963531	798.284485	5.971975	4.961638	5.378786	6.598432	6.54476
HIST1H2AE	4.56876	4.56876	7.288545	11.14309	2.32E-06	0.0001187206	278.07785	146.482254	206.996231	506.420685	5.007909	3.292979	4.62463	4.602848	3.283458
TJP3	-4.523953	4.523953	4.231533	-13.59945	4.63E-07	6.17E-05	0	0.110568	0.166681	0	39.028641	38.679194	43.329669	52.908048	39.43312
HIST1H2AI	4.513132	4.513132	6.86071	9.5806	7.69E-06	0.000217548	326.767639	105.866348	222.4039	474.813324	1.799275	3.079982	3.665309	8.037577	3.502954
HIST3H2BB	4.492951	4.492951	4.647808	7.629368	4.43E-05	0.0006228747	95.318581	18.907047	65.324379	168.048584	0.001639	0.164667	0.174194	0.458863	0.162706
TULP1	-4.471146	4.471146	5.506065	-9.253746	1.01E-05	0.0002506546	0.203543	0.733971	1.042955	0	50.644035	47.419071	57.783472	67.460091	59.030995
TUBA1C	4.465742	4.465742	5.915679	16.21815	1.09E-07	4.40E-05	100.684725	117.755138	117.273234	165.953028	0.701633	1.247395	2.598807	1.015284	2.210033
HIST1H2BG	4.411278	4.411278	7.013078	8.720458	1.60E-05	0.00032728	271.763336	85.838234	154.854233	497.643494	2.639315	4.483813	4.163646	3.202531	3.964785
GPM6A	4.397909	4.397909	5.316555	11.94094	1.33E-06	8.82E-05	31.896452	136.021779	88.172822	78.635901	0.501024	0.52566	0.579968	0.343824	0.836182
HPCA	-4.388233	4.388233	6.074996	-7.410498	5.51E-05	0.0007133075	0.255098	5.81702	6.267032	0.352017	106.158727	118.658162	89.103433	146.682648	105.977962
RBP3	-4.353201	4.353201	6.142268	-7.046494	8.00E-05	0.0009141074	0.132825	1.898595	4.110495	0.202523	68.194096	61.671642	77.590302	89.285652	75.090203
HIST1H2BF	4.299132	4.299132	5.487645	20.17386	1.78E-08	3.85E-05	122.151711	112.293091	119.266815	68.709335	0.577838	1.035455	1.116003	1.490477	1.816651
PALMD	-4.291477	4.291477	5.272697	-22.9238	6.13E-09	3.61E-05	0.541656	0.948186	0.824836	0.984743	87.238744	87.792833	61.255843	54.270963	58.336551
LPPR4	-4.239944	4.239944	4.864077	-14.11598	3.42E-07	5.54E-05	0.065288	1.003867	0.774873	0.360682	48.172739	44.099986	51.922597	45.416381	50.573705
C1orf61	4.21724264862165	4.21724264862165	4.59496127312318	7.45276675246611	5.28E-05	0.000696264358671	15.930854	31.519751	46.621208	161.804245	0	0.127071	0.094054	0.03577	0
MATK	-4.199189	4.199189	4.597314	-10.87006	2.83E-06	0.0001313825	0.128252	0.272278	0.895703	0	32.491358	32.025447	39.875027	43.202306	38.343389
BCL2L2-PABPN1	-4.16784822567182	4.16784822567182	3.65435554682534	-9.1616348967717	1.09E-05	0.000263481013444	0	0	0	0	19.987573	22.046083	20.48583	59.433324	34.952122
FKBP10	4.161301	4.161301	4.828795	16.01922	1.21E-07	4.52E-05	36.555527	60.088722	117.919815	77.22821	0.652363	0.420861	0.543389	0.572738	0.690609
HIST1H2AD	4.152837	4.152837	4.370343	6.485206	0.0001465403	0.001383867	77.1828	18.46039	34.744308	157.535095	0.286996	0.204843	0.539397	0.339934	0.139926
IMPG2	-4.148561	4.148561	7.492946	-4.842138	0.001082053	0.005719736	0.370802	14.500473	10.109178	0.576413	174.99829	153.45946	144.597377	125.608696	126.77276
NPTX1	-4.142021	4.142021	5.286638	-14.25223	3.16E-07	5.54E-05	0.733835	0.792835	1.134541	0.794124	54.820691	55.780439	56.92352	62.375399	54.235247
ABHD14A-ACY1	-4.13597928229904	4.13597928229904	3.91304532863553	-14.3812127947193	2.93E-07	5.54E-05	0	0	0	0	31.02833	24.917561	26.963673	36.340787	24.129747
PTN	4.110686	4.110686	4.412005	4.589849	0.001520671	0.007375655	72.188515	13.153122	8.081368	247.157623	0.10008	0.097637	0.104152	0.039983	0.128174
CLU	4.088613	4.088613	5.748666	8.962283	1.29E-05	0.000285916412641	29.904496	198.065506	220.732051	43.957876	0.898032	0.873739	1.390195	1.292908	1.738903
LHX3	-4.077317	4.077317	4.035211	-15.58568	1.52E-07	4.69E-05	0	0	0.343716	0.683038	33.935905	36.588411	28.00514	44.462783	31.510511
HAUS1	-4.067284	4.067284	10.21099	-14.47642	2.78E-07	5.52E-05	28.806438	21.020211	22.31885	47.949522	1058.216433	1069.946163	934.842673	974.996577	1014.086917
EIF3CL	-4.061537	4.061537	5.183462	-6.897711	9.36E-05	0.00102419	0.270199	1.375926	7.557749	0	45.991201	54.467645	57.261455	57.764445	73.223115
STMN2	4.051994	4.051994	4.15528	5.826742	0.0003127229	0.002372224	45.58264	19.048782	13.346806	148.678265	0	0	0.020775	0.032445	0.208361
HIST1H4H	4.04687	4.04687	6.913505	17.86496	4.90E-08	3.85E-05	256.792786	128.028519	211.619904	171.994537	3.601201	2.697608	4.356817	5.862727	4.147656
DOCK8	-4.040763	4.040763	4.24375	-15.15427	1.91E-07	4.69E-05	0.020157	0.186638	0.110189	0	33.694411	29.458128	28.39981	25.685496	25.068678
DCT	-4.026947	4.026947	5.296801	-10.24284	4.54E-06	0.000166409	0.099771	2.709371	2.077416	0.6292	58.309345	46.513834	70.511816	55.17038	63.202023
SPARC	4.021167	4.021167	4.711447	17.65707	5.40E-08	3.85E-05	29.163285	69.475355	74.629171	51.041168	0.42308	0.215881	0.615385	0.330292	0.508618
LRRC38	-4.014054	4.014054	3.874386	-17.81073	5.03E-08	3.85E-05	0	0.408058	0.430449	0.139677	32.564507	38.725449	28.312181	30.075451	28.173523
FSTL1	3.999633	3.999633	4.139594	11.88207	1.39E-06	8.90E-05	23.628897	35.563393	40.187386	61.683235	0.054238	0.026629	0.037919	0.015919	0.057069
CACNA1G	-3.991659164333	3.991659164333	4.21303716931828	-16.1044522774902	1.16E-07	4.52E-05	0.258959	0.29469	0.30356	0.533976	40.944178	30.990987	29.88144	44.604909	31.141265
MDK	3.986607	3.986607	4.519573	11.35874	1.99E-06	0.0001099072	73.637551	29.672678	59.795474	59.073845	0.335741	0.241308	0.511481	0.214876	1.031564
MAGED1	3.982152	3.982152	4.20931	15.21882	1.84E-07	4.69E-05	37.22468	29.345619	45.438071	41.93259	0	0	0.030466	0	0.058553
HIST1H2AB	3.980848	3.980848	4.260298	5.003028	0.0008751885	0.00489876	77.636543	7.487125	45.330151	179.048126	0.115065	0.428552	0.457445	0.437201	0.218366
NDUFV2	3.976123	3.976123	5.642838	11.25259	2.15E-06	0.0001137793	53.260639	61.36739	74.386009	140.851852	0.680223	2.599339	1.69291	1.416801	0.881106
MSN	3.96828	3.96828	4.115473	15.49075	1.59E-07	4.69E-05	37.181301	56.689793	43.949265	22.409456	0	0	0.02342	0	0.056555
H3F3A	-3.966863	3.966863	8.758832	-3.547538	0.006838762	0.02262307	3.938695	209.627335	7.087938	1.605829	239.1378	449.330439	284.922635	567.314255	591.064443
ASMT	-3.93024645162766	3.93024645162766	4.86449077861079	-8.5680542423047	1.83E-05	0.000355670719651	0	1.648512	1.964537	0	36.282853	31.892153	37.762261	46.418297	41.579205
FAT1	3.926464	3.926464	3.995165	16.34743	1.02E-07	4.38E-05	30.173246	41.145279	35.233902	34.847687	0.003175	0	0.004685	0	0.003342
HLX	-3.915308	3.915308	4.423511	-9.709527	6.92E-06	0.0002068073	0.47271	0	0.268162	2.580277	39.692147	44.870553	39.653427	54.924689	39.449317
GJA1	3.911581	3.911581	3.789099	17.39792	6.10E-08	3.85E-05	38.600956	41.118183	36.755558	28.475279	0	0	0.015207	0	0.032542
HIST1H3H	3.869858	3.869858	6.465003	6.423696	0.0001569347	0.001446009	170.000397	46.691193	143.552521	471.959198	3.496655	3.634242	4.473502	4.905188	4.875486
HIST1H4A	3.865136	3.865136	4.547766	9.48626	8.31E-06	0.0002273138	111.000328	19.24486	56.48571	41.909081	0	0.033391	0.309371	0.864587	0.687908
EPAS1	-3.847665	3.847665	4.483336	-11.08275	2.42E-06	0.0001216155	0.030768	0.681687	0.636549	0	24.784561	28.08716	27.467144	30.571731	28.226318
CLIC1	3.827704	3.827704	4.137272	7.152475	7.17E-05	0.000848515460837	29.886648	15.354715	24.583125	96.607089	0.047958	0.019543	0.020708	0.159453	0.111909
CPLX1	-3.807071	3.807071	4.655739	-10.81523	2.95E-06	0.0001345056	0.252375	1.477617	1.984973	0.331179	39.059286	38.241885	33.329871	58.154072	36.976583
HTRA1	3.784033	3.784033	4.157114	8.872567	1.40E-05	0.0003017844	30.404327	23.573015	24.464203	61.509842	0.525229	0.108184	0.021785	0.028894	0
EPHA3	3.780896	3.780896	3.917848	10.20044	4.69E-06	0.0001672667	19.655506	79.871295	58.025813	13.127537	0	0	0	0.015271	0
PACSIN1	-3.774041	3.774041	4.162882	-11.92115	1.35E-06	8.82E-05	0.11193	0.20797	0.408369	0	20.562309	23.01059	23.000543	28.019088	22.846362
HIST1H3C	3.767475	3.767475	3.763872	15.39745	1.67E-07	4.69E-05	16.779482	44.262043	43.197811	32.702522	0	0	0.074538	0	0
NGRN	3.757912	3.757912	5.317836	7.538803	4.84E-05	0.0006604319	37.499585	49.485436	46.096592	102.786883	0.293844	4.714484	0.598557	1.410453	0.48471
IFITM3	3.757302	3.757302	5.269222	7.318959	6.04E-05	0.0007606023	32.524433	130.193771	176.966919	20.040918	0.30423	2.357266	0.965779	1.264188	0.946516
PAX6	3.753258	3.753258	4.387065	15.21693	1.85E-07	4.69E-05	27.935041	59.755176	47.644168	25.368959	0.214943	0.171858	0.428967	0.090712	0.391239
CAPN2	3.75309934712025	3.75309934712025	4.13570734274894	16.5721192680554	9.13E-08	4.38E-05	23.307646	37.680193	42.591946	35.099731	0.124664	0.155647	0.166412	0.076065	0.111537
TAGLN3	3.740378	3.740378	4.163041	5.070017	0.0008020708	0.004601369	53.543337	14.938544	12.018694	143.516165	0.469157	0.016817	0.529585	0.185993	0.330804
ACTA1	3.72496820666939	3.72496820666939	3.93701541278206	8.36405217589006	2.20E-05	0.000398758607556	14.765812	32.168865	49.572258	67.870842	0.179956	0.510771	0.098691	0.151619	0.32168
HES5	3.722236	3.722236	3.804601	10.61482	3.42E-06	0.0001453174	36.03013	12.645042	61.388419	34.318697	0	0.039963	0	0	0.035171
NELL2	3.721518	3.721518	4.611671	15.40827	1.66E-07	4.69E-05	34.304044	44.031975	38.949566	52.069345	0.376695	0.527518	0.633958	0.488821	0.436449
GNB3	-3.710683	3.710683	8.319385	-4.097607	0.003034061	0.01228482	2.09491	23.131609	29.133683	1.540931	157.657575	119.897978	237.645894	225.734733	213.253325
CDH2	3.686215	3.686215	5.488903	14.84745	2.26E-07	5.05E-05	39.125643	96.788149	66.59837	60.265709	1.217706	1.295167	1.654133	1.285331	1.938618
SLC17A7	-3.685701	3.685701	5.369711	-6.210065	0.0001998209	0.001709797	0.064315	3.219945	3.675077	0	40.938986	43.873162	45.488173	34.343421	45.677
CRYAB	3.685141	3.685141	3.975075	7.309789	6.10E-05	0.0007665028	24.219637	75.678503	70.677711	7.541628	0.045777	0	0	0	0
HIST1H2BD	3.656292	3.656292	7.517499	6.405038	0.0001602456	0.001467906	330.745606	54.420053	167.040645	454.726288	3.869859	8.79005	15.710513	5.51011	5.852194
DDX1	-3.655427	3.655427	10.90024	-11.07361	2.44E-06	0.0001220307	33.397598	60.566166	51.307613	49.392483	1422.987348	886.760612	1036.780545	940.089491	1491.142888
C18orf25	-3.65347598785342	3.65347598785342	7.59468716735494	-11.1921490174924	2.24E-06	0.000115369205014	4.890601	10.044812	8.859251	5.215602	190.876411	185.033945	195.144057	157.858677	203.097901
PLS3	3.652203	3.652203	3.713456	11.43323	1.89E-06	0.0001066924	22.961805	28.433788	22.240222	38.122341	0	0	0	0	0.044513
HIST1H2BO	3.651099	3.651099	6.211747	6.331203	0.0001741193	0.00155333	180.59668	41.141495	101.909927	281.094971	3.115032	7.151654	3.177837	4.261555	3.636865
DCLK1	3.649642	3.649642	3.983061	7.09646	7.60E-05	0.0008807086	8.0308	94.238953	80.532836	13.130554	0.067028	0.03433	0.025041	0.017371	0.044631
TP53I11	-3.645085	3.645085	6.049641	-6.028474	0.0002464732	0.001989892	10.94902	1.317347	1.915585	2.173009	99.670723	100.701827	35.771814	157.478001	116.553778
TTYH1	3.642493	3.642493	5.315746	14.45578	2.81E-07	5.52E-05	62.034218	40.27881	104.978214	72.716056	1.757592	1.435369	1.631629	1.539013	1.348568
SLC6A15	3.6367	3.6367	3.844808	16.71325	8.51E-08	4.38E-05	23.350645	34.127336	29.549412	23.831723	0.011063	0	0	0	0
PITX1	-3.63075	3.63075	3.309287	-12.62939	8.46E-07	7.55E-05	0	0	0	0	19.838416	24.12869	11.405029	28.2233	13.204836
COL4A5	3.625596	3.625596	3.788784	9.120573	1.13E-05	0.00026750983081	20.386671	19.417297	21.901037	52.159947	0	0	0.006648	0.004532	0
NDUFA13	3.618696	3.618696	6.777688	10.45569	3.85E-06	0.0001549647	104.042183	76.062393	139.032288	226.180542	4.757017	4.609732	3.73105	5.385036	4.07655
FMN2	-3.603868	3.603868	4.80549	-11.29087	2.09E-06	0.0001137793	0.904333	1.652845	1.568188	0.474643	37.995577	39.83139	42.325011	37.383654	36.03134
IGFBP2	3.573865	3.573865	5.928634	5.556035	0.0004340786	0.002991608	75.263817	21.812338	72.02301	311.612732	2.553367	1.574577	2.27448	3.172184	3.210667
TPM2	3.571924	3.571924	3.537674	5.289144	0.0006056403	0.003795217	16.418177	12.467454	15.726026	99.414214	0.02517	0	0.024763	0	0
SLC1A3	3.567941	3.567941	4.032574	10.19497	4.71E-06	0.0001672667	11.555523	60.946174	40.668961	17.549031	0	0	0.03622	0.011531	0.01185
HIST2H2AA3	3.559579	3.559579	9.093112	6.831561	0.0001004597	0.001076496	663.552826	150.004013	392.744797	1251.591797	23.742599	30.568171	16.720463	25.15913	19.306032
TMEM47	3.537056	3.537056	3.775296	12.17255	1.14E-06	8.46E-05	24.988556	23.690916	19.594847	31.395716	0	0	0.011392	0	0.012189
RASGRF2	-3.53403	3.53403	5.211592	-8.260896	2.42E-05	0.0004199544	0.385886	2.578553	1.898667	0.312826	39.506274	40.220695	36.516522	32.943926	34.487989
NEUROD1	-3.531549	3.531549	7.309439	-4.23088	0.002507775	0.01066517	1.443555	23.797775	12.920523	0.775955	105.044144	129.276859	131.434275	102.433616	117.984258
CD44	3.520551	3.520551	3.712391	6.934389	9.00E-05	0.000995515635635	10.409516	86.210631	81.022396	7.734884	0.044473	0	0.074628	0	0
NEUROG1	-3.513883	3.513883	4.871926	-6.235776	0.0001940369	0.001675821	0.23249	4.986484	5.087113	0	36.459438	49.48819	30.762306	54.404358	38.878517
CHRDL1	3.513012	3.513012	3.746766	9.939156	5.76E-06	0.000184086167497	35.45793	20.348209	14.841038	30.341766	0	0	0	0	0.003884
PDLIM1	-3.510026	3.510026	6.464222	-12.15393	1.15E-06	8.47E-05	4.117161	3.116586	4.698886	3.793016	91.89861	90.2131	94.841945	115.386072	96.002511
DPP10	-3.509003	3.509003	4.801957	-6.374618	0.000165809	0.001503093	0	4.607221	3.629118	0.168067	36.361415	30.373578	50.371617	42.327357	27.8071
KIF5C	3.508731	3.508731	4.240325	15.06885	2.00E-07	4.69E-05	23.305898	39.945361	25.947432	25.622643	0.063731	0.145139	0.198768	0.144684	0.338688
ZIC1	3.506337	3.506337	3.535245	3.190416	0.01183508	0.03425371	62.039246	3.765403	2.88056	173.329788	0	0	0.005985	0	0.015989
ATP11C	3.48432029220985	3.48432029220985	3.6256074526876	14.7459708351902	2.39E-07	5.05E-05	24.03994	29.473951	21.68497	22.086303	0	0	0	0	0.007017
SLC1A7	-3.469127	3.469127	4.734149	-7.242406	6.53E-05	0.0008050132	0	1.308097	2.58072	0	35.817993	29.13547	21.304409	25.782003	21.491513
H2AFY2	3.466881	3.466881	3.663774	9.38552	9.03E-06	0.0002356297	26.240814	16.355339	20.978771	37.938366	0.047337	0.069407	0	0.024204	0.149743
ABRACL	3.46120220661523	3.46120220661523	3.50699039253496	9.90189532007544	5.93E-06	0.000186608683058	19.159889	22.372959	22.342129	37.493347	0.055161	0	0.061628	0	0.169529
CA12	-3.45956593810937	3.45956593810937	5.06024434164135	-7.46522075232206	5.21E-05	0.000692862605911	0.75999	4.290755	3.815682	0.37994	40.652338	45.438404	51.000729	44.469889	36.969468
DOCK9	-3.447585	3.447585	6.124078	-15.55073	1.54E-07	4.69E-05	1.517502	4.058785	3.424505	2.74527	73.689389	79.764625	72.834113	63.965414	68.390787
HIST1H2BN	3.432989	3.432989	5.674605	10.86704	2.84E-06	0.0001313825	108.835724	37.187725	101.626907	90.212135	2.249203	1.641438	3.950103	2.052956	3.10224
RPL37A	3.43057	3.43057	11.66352	8.302116	2.33E-05	0.0004083997	1057.737549	1014.331299	2374.617432	3621.837891	96.467062	92.217101	56.816448	114.596119	78.507965
GPM6B	3.426557	3.426557	7.699744	7.653628	4.32E-05	0.0006167677	58.249742	451.281343	348.225712	139.114611	7.918299	6.79048	9.880421	7.041509	9.844757
NEDD8-MDP1	-3.424934	3.424934	3.066377	-15.14031	1.92E-07	4.69E-05	0	0	0	0	20.105234	12.222209	13.967112	14.799101	14.195301
LUC7L2	3.417229	3.417229	4.562364	15.34518	1.72E-07	4.69E-05	28.253069	52.143598	36.578929	26.383788	0.523219	0.086651	0.572347	1.547171	0.332249
XRCC4	-3.413677	3.413677	7.012379	-9.948368	5.71E-06	0.0001840862	4.469192	8.236179	5.182888	6.640335	89.392839	132.193457	174.40729	110.775985	179.665344
TAGLN2	3.392054	3.392054	6.108819	15.5589	1.54E-07	4.69E-05	62.719327	89.987336	156.895502	61.009035	2.845649	2.648066	2.835936	4.006699	3.763349
FEZ1	3.385124	3.385124	3.707521	10.31941	4.28E-06	0.0001647068	17.372107	17.258183	20.569305	37.052929	0	0	0.026421	0.027508	0.032652
FBN2	3.38456	3.38456	3.4913	11.97426	1.30E-06	8.77E-05	26.40733	17.855848	24.085903	26.134392	0.043172	0.126229	0.053465	0.056263	0.055158
NDUFA7	3.384332	3.384332	4.897086	11.97095	1.30E-06	8.77E-05	27.978516	41.217499	45.090824	54.046669	0.713842	1.537224	0.619699	1.568565	0.834013
TSPO	3.370065	3.370065	3.344027	3.425754	0.008231381	0.02601388	23.092462	1.645556	22.827963	138.069344	0	0	0	0	0.051367
ROBO3	3.354673	3.354673	3.523208	4.571903	0.001558482	0.007490759	29.792767	8.819435	16.45615	97.341896	0.418713	0.268034	0.326708	0.441986	0.104431
S100A10	3.353901	3.353901	3.202965	17.21587	6.66E-08	4.02E-05	13.355822	36.354313	48.440838	10.885001	0	0	0.038422	0	0
CCDC141	-3.346612	3.346612	4.296575	-12.76599	7.75E-07	7.42E-05	0.164301	2.295833	1.257169	0.815997	26.898941	33.222292	30.360139	27.335731	25.935889
CRX	-3.346412	3.346412	6.74034	-3.263774	0.01056153	0.03134737	0.262454	17.099224	18.990814	0	91.139753	58.392604	63.768142	65.581638	62.328829
HS3ST4	-3.341574	3.341574	3.020947	-13.37721	5.30E-07	6.32E-05	0	0	0.04268	0	12.753326	13.364032	14.477006	13.040272	14.606987
CCND1	3.337526	3.337526	3.690049	14.30688	3.06E-07	5.54E-05	12.289185	26.984039	30.229845	23.739958	0.052835	0.03504	0.051743	0.007582	0.099118
ATP5A1	-3.33519001488706	3.33519001488706	13.8193549700299	-18.1156531856602	4.37E-08	3.85E-05	203.190904	163.579883	231.044199	666.998704	5851.154716	6540.836247	4569.293853	6248.839815	4100.584745
ANKRD33B	-3.33249014475676	3.33249014475676	5.59822319724753	-4.88715268931496	0.001019303165006	0.005476488619099	0.160051	6.080943	6.454468	0.095659	44.501295	39.984421	41.640284	41.504252	37.62491
REEP6	-3.327939	3.327939	5.512231	-14.28811	3.09E-07	5.54E-05	0.517306	1.446506	3.011737	2.677558	39.802757	47.249104	42.801585	51.285682	36.966453
SLC38A5	-3.300882	3.300882	5.645748	-12.91093	7.07E-07	7.12E-05	1.89609	2.175049	2.950535	1.959915	48.721577	44.670517	47.540963	55.316366	55.126145
TP73	-3.293037	3.293037	3.455796	-13.84331	4.01E-07	6.03E-05	0.121016	0.234508	0.319477	0.53328	15.931208	16.780403	16.540505	19.6865	16.736522
