GeneSymbol	N_RO1	N_RO2	N_RO3	M_RO1	M_RO2	M_RO3	M_Cell1	M_Cell2	M_Cell3	M_Cell4	Y79_1	Y79_2	Y79_3	Y79_4	Y79_5
ABCB8	6.16359	5.455553	4.128343	3.621581	3.615743	1.452056	2.85284	1.738198	4.534887	3.911909	2.480299	4.177172	3.645952	3.724679	1.670759
ABCB9	3.840352	3.934621	0.637621	4.427998	2.784454	1.606964	1.585268	0.921259	3.277059	1.975984	6.026705	4.893144	5.167363	6.407688	4.984036
ABCC1	5.022242	3.958725	5.187371	6.574372	4.92972	9.296053	5.296453	12.876139	18.883354	2.88819	17.39969	17.502196	19.743161	22.281727	20.639038
ABCC10	3.496523	3.852249	2.847334	2.845961	2.945586	1.617591	3.011555	2.364352	5.943281	5.905388	3.379411	2.951734	3.287034	3.672456	3.556552
ABCC11	0	0.073833	0	0.070946	0.08731	0	0.021994	0	0.055571	0	0	0.00601	0	0.009213	0.003151
ABCC2	0.961248	0.800926	1.072193	0.457486	0.547667	0.649445	0.144477	0.326445	0.190366	0	0.093645	0.103966	0.059513	0.098087	0.083431
ABCC4	1.828349	1.425626	3.572231	7.43335	7.003626	10.337405	7.06789	23.275998	22.20526	8.432439	1.588592	3.275322	1.63092	1.226223	1.500554
ABCC5	37.914282	30.674949	39.719742	23.966461	24.708033	17.249214	11.07901	17.035226	21.138009	18.493848	4.321256	3.675809	4.435277	4.458956	5.006289
ABCC6	0.842626	0.200685	0.866596	0.629697	0.630635	0.25814	0.068304	0.218357	0.708341	1.392886	2.070939	2.060339	1.562925	1.742327	1.656607
ABCC8	1.191261	0.726722	1.463283	1.300397	1.465053	1.021642	0.399272	1.09119	1.134504	0.894226	8.70526	8.866546	8.807531	9.903552	8.355433
ABCC9	0.105912	0.207431	0	0	0	0.634494	0.033241	0	0.014535	0	0.130661	0.010798	0.139557	0.084431	0.18184
ABCD1	1.25265	1.476326	0.872754	0.78852	1.019515	0.936445	0.625721	0.753644	1.780528	1.714485	2.29851	2.50362	1.724058	2.921686	1.68839
ABCD3	25.258406	27.270022	21.615042	29.4207	26.311325	18.050399	15.191745	25.617801	21.74584	26.666325	14.782104	16.470514	17.344148	11.104614	18.328832
ABCD4	8.128694	9.219567	5.964888	10.289284	8.11216	7.431462	3.568497	7.996411	12.235478	5.123448	7.56931	8.399758	8.232433	8.583481	9.029465
ABCE1	21.375722	20.612673	26.400946	45.673255	42.030596	53.186983	35.385513	60.772728	47.994467	44.920337	38.376327	32.620013	42.450906	26.427255	38.898326
ABCF1	12.985852	12.513014	11.296308	12.08607	10.91341	11.996692	9.511771	16.758234	19.401076	7.489544	41.385508	43.120179	45.948395	36.131526	41.742333
ABCF2	13.845045	12.421035	7.883354	16.745776	16.846254	11.42159	15.217821	17.880579	20.791988	30.932177	17.176581	19.660418	18.174079	20.243346	17.394513
ABCF3	14.052384	12.93099	11.571273	13.968524	12.259827	8.108824	6.341534	10.566649	13.416202	12.891588	9.665769	9.120526	6.965687	10.694268	9.036071
ABCG1	18.548789	13.362425	10.43582	6.771849	9.210015	4.921062	3.079465	3.511473	5.109227	6.7894	0.616072	0.305187	0.937491	0.757196	1.061077
ABCG4	20.834489	15.773383	23.575796	6.569486	5.896882	1.641231	0.159558	0	0.313644	0.164851	2.129931	1.598319	2.443071	1.893792	1.943836
ABCG5	0.102629	0.308265	0.470213	0.175248	0.172844	0.227429	0.085192	0.263121	0.152418	0	0	0.015871	0	0	0
ABCG8	0	0	0	0	0.069786	0	0	0	0.056667	0	0	0	0.007202	0	0
ABHD1	1.282676	1.440091	1.199301	1.122685	0.883586	1.192659	0.233344	0.710573	0.759524	0	0.060116	0.058328	0.107057	0.060807	0
ABHD10	17.622734	16.348008	14.551912	20.268873	17.766511	16.709963	13.094559	23.17086	16.783729	28.876343	12.779312	10.311149	11.923818	8.823781	9.970273
ABHD11	5.69753	4.369609	1.985176	4.16324	3.133548	2.555376	2.935569	1.932449	4.857119	3.519854	4.850106	6.026116	3.972731	6.470095	5.558862
ABHD12	11.610329	11.880927	8.445576	7.775722	9.447333	7.401971	7.66272	6.64486	10.963737	9.104089	14.521344	16.564196	13.743508	16.439454	14.510072
ABHD12B	1.850637	2.518902	4.258584	1.409924	0.858958	2.724731	0.177105	0.970337	0.47792	0	0.010002	0	0	0	0.016446
ABHD13	8.08419	6.424573	12.532072	5.678558	6.107372	10.561161	2.422286	5.699431	4.480451	1.148384	4.611731	3.824091	5.694308	2.386896	4.795127
ABHD14A	36.570564	30.1387	20.912882	17.811298	17.866589	7.983531	2.752262	9.227686	11.124457	4.067679	3.55705	12.908926	3.13831	7.043202	4.484496
ABHD14A-ACY1	5.272155	5.762093	2.664985	0	0	3.860239	0	0	0	0	31.02833	24.917561	26.963673	36.340787	24.129747
ABHD14B	11.042951	9.174709	10.169354	10.237289	7.457357	11.471909	2.790903	6.460835	10.103939	2.083136	1.866275	1.42998	1.324153	2.40184	1.443212
ABHD15	2.084086	1.721312	1.315796	1.898523	1.517524	1.836287	0.944165	3.394497	3.682743	2.058496	2.611763	1.910355	2.421469	3.014084	2.846517
ABHD16A	6.562848	6.553768	5.015328	7.657654	5.469782	4.819116	3.389448	3.776081	6.787631	17.112808	1.342532	1.055653	0.9549	1.579379	1.275023
ABHD16B	1.843114	1.199339	1.050583	1.478095	0.629868	0.506644	0.588754	1.189801	2.243701	1.713881	2.640199	4.001423	2.496016	3.815246	0.571989
ABHD17A	6.095892	6.96706	3.724411	6.222821	3.917582	6.169879	6.680797	4.31919	13.508974	19.048971	14.806392	8.233391	10.897797	12.721434	14.914451
ABHD17B	14.246067	13.126562	9.096322	11.902832	11.655322	7.369679	9.235742	6.833784	8.647389	17.04112	11.791851	11.330945	13.137128	12.302588	10.432193
ABHD17C	1.666229	1.905824	4.31679	1.78805	2.216797	4.474432	2.096658	3.469962	3.99109	2.429755	6.162086	6.046959	5.598334	4.839127	6.52861
ABHD2	25.507972	15.050628	14.188078	9.799573	10.874811	9.273179	3.597536	7.713171	7.193731	2.238995	6.160964	6.354445	5.844585	5.742429	5.991169
ABHD3	8.220371	5.710913	5.271179	2.22933	2.728239	1.800751	1.656998	1.591999	2.377124	4.026956	15.407486	12.328296	19.585672	20.569107	18.008512
ABHD4	8.781633	8.23015	3.656124	4.168406	4.837703	4.700557	2.56767	3.991003	5.595311	1.442654	1.444332	1.929	2.121495	1.780712	1.683834
ABHD5	7.672525	7.26246	9.879851	4.697349	4.693685	4.214131	2.403405	4.925972	4.108981	5.417742	3.125032	2.442495	3.527377	2.321353	3.289339
ABHD6	6.550138	4.98711	4.667662	3.374397	2.058526	3.887968	1.906474	2.993594	2.834346	6.40764	2.459894	3.108123	2.614423	2.966541	2.954928
ABHD8	8.420128	5.58357	2.788479	5.698535	4.43076	2.431365	2.182568	2.410281	6.994951	2.871441	5.816726	6.997002	5.268054	10.423476	6.167853
ABI1	11.138796	12.002588	16.128396	13.342358	11.960556	17.922063	6.523001	18.672371	11.584765	8.668042	10.986651	10.859721	9.265738	7.620387	9.614063
ABI2	18.325433	17.831536	40.647638	19.953917	20.218608	45.575902	19.425766	35.276328	27.711121	16.577616	26.846859	24.453063	22.111006	14.251808	7.282477
ABI3	2.049401	1.454366	0.998619	0.434179	0.547134	0.198774	0	0	0	0	0.211163	0.215859	0.314241	0.635357	0.250009
ABI3BP	1.968418	3.100077	3.084833	1.157735	1.965777	9.946456	0.173207	0.900462	0.766291	0.218811	0.065264	0.049848	0.051091	0.014131	0.07243
ABL1	10.742183	12.825422	9.405658	15.008347	13.720626	11.968821	10.895986	11.926621	18.529289	6.631881	19.697864	23.766893	22.334183	25.817065	20.756092
ABL2	11.175989	9.356278	28.432162	7.328961	9.892744	16.030303	4.371793	12.831153	12.132065	4.403697	18.693848	18.644662	18.097074	16.085861	17.600171
ABLIM1	21.661605	20.396638	22.063463	18.822071	13.709808	25.958801	14.525567	21.169542	19.596477	7.14588	0	0	0.030673	0.009241	0.014174
ABLIM2	1.124326	2.079297	2.809004	2.306704	2.312603	1.650234	0.290872	1.003332	0.923321	1.775671	0.570071	0.80957	0.622201	1.140948	0.91272
ABLIM3	17.856378	18.560869	16.22509	7.791546	6.358043	6.846952	0.166825	2.930584	1.871895	0.582295	0	0	0	0	0.006605
ABO	0.094339	0.069266	0.366598	0	0	0	0	0	0	0	0.023669	0.015485	0.009465	0.033992	0.030951
ABR	11.276597	11.249491	15.08023	12.091175	9.89798	43.376093	18.967582	49.683518	57.627968	12.78798	24.47314	15.467211	21.420076	30.278444	26.168962
ABRACL	3.75059	4.045424	1.198818	11.028467	14.310255	11.591572	19.159889	22.372959	22.342129	37.493347	0.055161	0	0.061628	0	0.169529
ABT1	8.344007	8.597248	4.684974	9.968026	7.620411	4.810998	6.391349	4.474615	7.002142	11.179457	10.934486	11.276059	10.083669	12.777069	11.577978
ABTB1	2.191684	1.416137	1.426209	2.944317	1.236592	0.868499	0.187836	0.469013	1.235658	0	1.656863	1.441019	1.512126	1.643358	1.101612
ABTB2	1.818107	1.085199	4.373167	1.325217	1.090296	1.912423	1.043401	1.654598	2.201997	1.66112	1.172422	1.276722	0.972827	0.78033	1.173742
ACAA1	3.468238	4.757657	3.280078	7.424503	4.233987	3.752002	3.923751	9.429113	16.254315	10.62151	5.981766	6.121634	4.441914	7.336523	5.886802
ACAA2	17.538425	19.378744	16.557007	26.514244	18.159702	20.139647	12.684433	30.608519	27.37463	34.357059	7.173569	18.048747	18.076416	11.867338	16.385506
ACACA	6.675669	6.762579	11.091015	11.522412	9.897225	19.739107	15.088513	27.188945	26.22556	17.071151	14.268431	15.74195	18.742596	19.678151	17.062777
ACACB	1.158301	1.165539	0.96583	1.168722	0.95921	1.592001	0.615921	0.707772	0.973649	0.513718	2.888756	1.338069	1.077451	0.967116	0.856657
ACAD10	6.702796	5.956025	4.075753	9.574988	7.142992	7.60789	5.181984	7.400345	9.586352	6.819845	5.297873	4.984547	5.191053	5.018539	4.699685
ACAD11	10.053197	9.437825	1.293818	11.013425	6.857911	3.601119	3.641547	2.079421	6.899998	10.46611	4.178479	4.459175	4.312958	5.916613	7.333378
ACAD8	11.825587	10.062522	5.8134	12.816322	8.678166	3.918265	7.329268	6.71237	12.294837	20.170036	5.859487	6.054794	5.05507	5.901288	5.830247
ACAD9	14.144256	15.111532	7.039252	14.284443	13.818453	7.563892	11.671266	11.793119	16.027872	11.172853	14.258299	17.290888	14.468573	16.679396	13.386101
ACADL	0	0.195919	0	0.364027	0.428708	1.001433	0.058987	1.149739	0.621303	0.306622	0.126753	0.017773	0.01804	0.092147	0
ACADM	17.219408	17.598345	24.024563	19.558289	20.079531	23.715078	16.643127	36.229098	24.506546	23.636807	22.996715	20.956669	21.357248	18.112848	22.339266
ACADS	2.35225	1.984168	0.189787	3.473738	2.022746	0	1.206804	0.526677	3.581945	7.138851	2.641328	2.18927	1.829768	3.069604	2.340269
ACADSB	6.115529	5.329691	10.7585	5.630512	6.560449	10.221126	3.198503	10.402525	6.744716	3.331155	3.246353	3.37022	3.183774	2.186088	3.152668
ACADVL	39.091489	41.335604	27.398264	47.024825	43.765192	33.247402	30.304306	79.349174	110.581917	92.615078	32.728999	35.2459	27.120294	40.364306	28.711437
ACAP1	1.971545	1.370224	1.023496	1.218249	0.746234	1.404593	0.428033	0.451947	1.04063	0.494466	0	0	0.013924	0	0
ACAP2	12.607553	11.896821	16.152157	12.207427	11.569315	16.812384	7.756224	11.49122	8.942873	8.531831	8.444187	7.745152	8.527772	5.006575	8.587624
ACAP3	11.915846	10.941875	7.66001	16.80817	13.608189	5.516356	7.304502	6.886093	17.908607	17.800768	18.510198	13.511586	14.816693	21.822785	17.493825
ACAT1	20.135975	21.837076	19.204456	38.203907	31.898228	40.646229	27.596798	56.787212	49.751602	65.372147	35.814411	38.394757	38.023343	38.032252	41.320237
ACAT2	10.429313	13.819177	8.249842	13.359931	13.530417	6.971406	52.916143	13.732084	10.571618	137.331701	23.735808	29.816075	17.786777	18.623535	20.040458
ACBD3	33.546894	30.366062	40.008675	19.440184	21.764864	35.497028	10.521823	22.561899	17.037323	6.911813	15.290051	14.377633	15.883264	10.89431	14.836172
ACBD4	7.381927	5.17391	3.224152	4.813052	3.554347	2.591665	0.662492	2.659493	5.504417	1.393591	3.355258	3.071938	3.851946	4.085684	3.96662
ACBD5	32.130707	27.494007	24.142426	18.108026	16.934061	13.73737	7.914105	13.377891	11.784166	13.81642	10.261251	10.523962	9.824155	9.159298	11.288861
ACBD6	23.617737	23.73542	19.031775	33.202915	31.527557	24.364229	28.175518	31.479118	35.999516	35.188835	32.275631	24.138422	24.725143	30.882073	22.63436
ACBD7	3.451174	2.856941	6.591806	1.797545	2.215378	2.556278	2.829396	5.024779	2.745595	3.267619	15.205777	6.672528	13.078355	10.901589	23.561007
ACCS	0.882775	0.442125	0.408632	1.99063	0.327712	0.76359	0	0	0.083331	0	0	0	0.005963	0	0
ACD	6.026182	5.050187	4.307379	6.250661	5.972196	4.696906	5.031363	4.58796	7.252141	11.932323	13.604935	13.139207	12.186482	16.751034	11.47709
ACE	0.167883	0.290061	0.439114	0.768061	0.552933	0.669227	0.104085	0.254467	0.546194	0	3.596661	2.65811	4.160861	4.453378	4.300318
ACER1	0	0	0	0	0	0	0	0	0	0	0.064755	0	0.07836	0	0
ACER2	10.11519	7.0915	19.074095	4.219605	4.386552	2.511898	1.009873	1.551396	1.340232	0.917451	4.484985	3.423545	3.545616	3.130071	2.212388
ACER3	3.884247	3.532737	5.645725	3.472159	3.663542	7.559875	2.587741	4.704849	3.145883	1.822103	3.371113	3.181734	1.171274	2.455927	3.28643
ACHE	0.769522	1.563416	0.813891	0.739117	0.842885	0.352509	0.090478	0.162763	0.194604	1.045466	0.329014	0.225652	0.426982	0.508043	0.518893
ACIN1	28.529863	28.151711	40.71047	35.042024	34.311203	42.20485	31.436601	53.857028	55.401711	27.644077	57.222874	68.007719	65.668529	69.804109	59.946874
ACKR1	4.462596	3.582268	22.651321	2.713797	6.01187	7.278088	1.262478	18.392808	13.039847	0.256077	0.937607	0.326677	0.110743	0.128749	0.499398
ACKR2	0.215936	0	0.331788	0.05344	0	0.198723	0	0.031413	0.09805	0	0.016565	0	0.072506	0.067193	0
ACKR3	9.450925	6.619236	9.068912	8.449025	6.070611	9.828419	1.024566	2.823498	2.824397	1.232388	0.276721	0.229359	0.387764	0.348934	0.280312
ACLY	24.822336	31.376503	20.968389	60.648194	49.200943	33.110094	107.857422	81.134106	103.737437	173.875142	321.88648	363.795775	358.308955	434.825943	391.362768
ACMSD	0.195946	0.201944	0.839815	0.198491	0.371592	0.782982	0.218873	0.55534	0.230388	0	0	0.025369	0	0	0.062102
ACO1	7.948299	7.898114	4.209164	10.603308	8.78406	8.1375	5.61935	10.874542	11.194512	12.357952	3.486273	4.599333	3.969836	2.553404	2.480195
ACO2	32.572495	33.274803	22.631342	31.05921	23.216787	30.966089	22.296511	30.97271	38.351425	42.980476	23.837367	30.281024	30.516212	34.390489	28.135511
ACOT1	2.926498	2.262024	0.660134	2.595987	2.866863	0.618457	0.062989	0.152368	0.368393	0.327483	0	0	0.018072	0.012348	0.006345
ACOT11	2.857453	2.90136	0.772946	1.095596	0.795485	0.798185	0.195944	0.29375	0.523352	0.797612	4.260947	2.182605	2.464487	3.548184	2.145475
ACOT12	0	0.337005	0.55663	0.189614	0	0	0	0	0	0	0.245081	0.129778	0.049132	0	0
ACOT13	10.234581	10.004748	12.039277	6.534608	5.898481	9.86063	3.899453	7.866226	4.674365	7.554728	5.956265	5.268922	5.618913	5.492137	5.698238
ACOT2	4.328619	3.57005	2.102167	4.430224	4.337587	1.939877	0.278709	0.35726	0.707916	0.464727	0.004067	0.003982	0.004117	0.007821	0.006422
ACOT4	0.825674	0.352998	0.235887	0.432341	0.300782	0.190918	0	0	0.063153	0	0	0.019459	0	0.018633	0
ACOT6	0	0.106239	0	0.175993	0	0.539797	0	0	0	0	0.062343	0.045779	0.090535	0.046968	0
ACOT7	8.37934	7.415721	4.73573	6.394787	5.228638	4.383486	7.107141	8.332371	11.045713	13.003261	68.801145	54.997633	69.242011	90.921871	48.865315
ACOT8	16.307432	15.122706	5.821379	10.739509	10.115368	4.53301	4.318288	3.058756	7.624842	8.152275	7.419776	6.671832	8.479458	9.238183	6.612947
ACOT9	24.276058	20.702286	15.870673	22.449114	23.686747	18.050318	20.929854	22.940882	23.690495	48.342495	6.063994	5.874614	5.402294	5.386535	5.493794
ACOX1	16.796382	16.124894	11.630037	14.575489	14.892932	8.674846	8.080511	16.959494	20.050474	20.38626	6.441317	6.689329	5.675888	6.390477	7.225627
ACOX2	1.131953	0.543316	0	0.416793	0.509624	0.568386	0.080911	0	0.320822	0	0.116179	0.065711	0.069231	0.049012	0.187318
ACOX3	5.497915	4.223572	6.691572	5.281921	5.376367	4.859324	3.614201	6.010897	7.044461	9.805826	1.310484	2.594388	2.58657	2.971373	1.650303
ACOXL	0.04612	0	0	0	0	0	0.052252	0	0.085206	0	0.035668	0.081295	0.085501	0.149948	0.066791
ACP1	54.616607	55.61433	51.768887	49.439337	46.120599	48.16782	35.606337	54.603866	47.198135	87.845989	70.768737	72.722636	72.444689	73.408049	70.439384
ACP2	13.965126	13.979539	8.210333	10.323445	10.797359	4.93119	5.39908	6.401593	10.557688	10.564054	4.400747	6.986904	5.564914	6.39944	4.620772
ACP5	6.25076	4.450903	1.556607	2.180058	1.101708	0.881655	0.153833	0.343667	0.760707	0.133951	0.039397	0	0.154036	0	0.02276
ACP6	7.623025	6.63938	2.738498	10.324606	6.956588	9.806788	7.734213	14.11274	17.930395	11.281718	0.56064	0.471461	0.823237	0.86014	0.738928
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0.008311	0.053426	0
ACRBP	1.378982	0.352252	1.943602	0.689541	0.831411	1.67859	0	0.56489	0.726543	0.172363	0.052772	0.137149	0.210047	0.248551	0.19923
ACRC	0.941126	0.810286	1.421795	1.226355	0.870855	1.172346	0.67061	1.941985	1.305673	2.898939	0.087024	0.126018	0.188921	0.123522	0.108798
ACRV1	0.127424	0	0.405357	0.34495	0	0.94739	0.512407	1.460097	0.909735	0.986755	0.113512	0.53276	0.160267	0.206978	0.155522
ACSBG1	0.16756	0.261192	0.135314	0.15222	0.130851	0.360878	0.180538	0.134699	0.154914	1.083614	0.253631	0.149088	0.283127	0.177371	0.127332
ACSBG2	0.391315	0.405158	0.5355	0.461669	0.731287	1.011205	0.572288	0.839355	0.805803	0	0.037676	0.025892	0.056192	0.010864	0.034806
ACSF2	1.586524	1.319061	0.503255	1.00191	1.090109	1.62382	0.180962	1.474462	2.332188	1.276345	0.362016	0.420139	0.321728	0.384365	0.255258
ACSF3	4.243103	4.207876	2.656158	5.028335	4.584618	2.775497	3.708894	3.075695	6.204537	9.71586	6.097358	6.908457	4.128419	5.708434	6.009268
ACSL1	17.978683	15.127569	13.739033	7.723548	9.274095	7.425515	6.48135	5.262448	5.551987	19.227963	15.67892	17.354855	15.888288	19.145607	15.393777
ACSL3	42.042016	34.923942	59.859926	26.600632	28.663131	22.200266	23.126566	17.203144	11.992519	36.365626	7.046135	7.268184	8.668574	6.676775	6.935947
ACSL4	22.767227	21.877586	31.611783	15.909378	17.395891	20.522538	16.026569	18.462648	12.635421	24.109966	4.515878	4.925441	5.267247	3.208738	5.948854
ACSL5	0.293799	0.235409	1.006893	0.442975	0.187312	0.938591	0.087993	0.341642	0.351936	0	0.012546	0.133672	0.020187	0.035339	0.017174
ACSL6	32.831363	29.288252	33.237432	11.126883	11.576756	3.261291	0.106854	0.755471	0.564021	0.717976	2.177862	2.058686	1.855158	1.98293	1.625247
ACSM3	0	0	0.323739	0.117748	0.485344	0	0.142435	0.283261	0.1286	0.122242	0.058096	0.016155	0.071426	0.026006	0
ACSM4	0	0	0	0	0	0	0	0	0	0	0.047129	0	0	0	0
ACSM6	0.289719	0	1.399255	0.186329	0	0.30756	0	0	0.088787	0	0.01983	0.034526	0.055425	0	0
ACSS1	1.457686	1.578696	1.075306	12.829157	5.886371	7.793167	6.395572	4.041995	4.849857	4.576573	0.085698	0.08407	0.084354	0.251878	0.154904
ACSS2	7.220016	7.90225	5.230791	5.547095	4.599437	3.24048	3.677187	2.278399	2.768878	14.442203	15.270982	16.54109	15.625886	16.528503	15.184464
ACSS3	2.402653	2.713181	3.765648	3.557861	2.199502	7.020769	0.026203	3.389146	3.141366	0	0.007922	0	0.015308	0	0.019404
ACTA1	1.128811	1.918629	0.757115	14.815436	8.480476	118.963593	14.765812	32.168865	49.572258	67.870842	0.179956	0.510771	0.098691	0.151619	0.32168
ACTA2	1.40383	1.54195	0	1.541638	1.4622	11.235961	16.811058	4.61111	3.82676	62.113995	0.017247	0.026174	0.026125	0.095839	0.096498
ACTB	275.549316	321.132843	252.02327	268.957733	380.584564	367.624512	439.937622	451.886261	556.263123	376.573242	968.509721	1143.140193	1157.884244	1392.853162	1097.648115
ACTC1	2.521848	2.679052	15.858987	5.885115	5.358772	84.755676	2.371688	10.127374	9.978418	14.196157	1.946282	1.972101	2.000295	1.749903	2.337832
